$Gene	0h_RNA	0h_protein	2h_RNA	2h_protein	4h_RNA	4h_protein	6h_RNA	6h_protein	8h_RNA	8h_protein	10h_RNA	10h_protein	12h_RNA	12h_protein	14h_RNA	14h_protein	16h_RNA	16h_protein	18h_RNA	18h_protein	20h_RNA	20h_protein	22h_RNA	22h_protein
NCU03030.7	1.5	0.5	1.86602540378	1.0	2.0	1.5	1.86602540378	1.86602540378	1.5	2.0	1.0	1.86602540378	0.5	1.5	0.133974596216	1.0	0.0	0.5	0.133974596216	0.133974596216	0.5	0.0	1.0	0.133974596216
NCU16445.7	1.86602540378	1.86602540378	1.5	1.5	1.0	1.0	0.5	0.5	0.133974596216	0.133974596216	0.0	0.0	0.133974596216	0.133974596216	0.5	0.5	1.0	1.0	1.5	1.5	1.86602540378	1.86602540378	2.0	2.0
NCU03136.7	2.0	1.86602540378	1.86602540378	2.0	1.5	1.86602540378	1.0	1.5	0.5	1.0	0.133974596216	0.5	0.0	0.133974596216	0.133974596216	0.0	0.5	0.133974596216	1.0	0.5	1.5	1.0	1.86602540378	1.5
NCU00454.7	1.5	0.0	1.0	0.133974596216	0.5	0.5	0.133974596216	1.0	0.0	1.5	0.133974596216	1.86602540378	0.5	2.0	1.0	1.86602540378	1.5	1.5	1.86602540378	1.0	2.0	0.5	1.86602540378	0.133974596216
NCU08779.7	2.0	1.5	1.86602540378	1.0	1.5	0.5	1.0	0.133974596216	0.5	0.0	0.133974596216	0.133974596216	0.0	0.5	0.133974596216	1.0	0.5	1.5	1.0	1.86602540378	1.5	2.0	1.86602540378	1.86602540378
NCU09741.7	0.133974596216	2.0	0.0	1.86602540378	0.133974596216	1.5	0.5	1.0	1.0	0.5	1.5	0.133974596216	1.86602540378	0.0	2.0	0.133974596216	1.86602540378	0.5	1.5	1.0	1.0	1.5	0.5	1.86602540378
NCU02098.7	1.0	0.0	1.5	0.133974596216	1.86602540378	0.5	2.0	1.0	1.86602540378	1.5	1.5	1.86602540378	1.0	2.0	0.5	1.86602540378	0.133974596216	1.5	0.0	1.0	0.133974596216	0.5	0.5	0.133974596216
NCU04213.7	0.5	2.0	0.133974596216	1.86602540378	0.0	1.5	0.133974596216	1.0	0.5	0.5	1.0	0.133974596216	1.5	0.0	1.86602540378	0.133974596216	2.0	0.5	1.86602540378	1.0	1.5	1.5	1.0	1.86602540378
NCU06461.7	1.0	1.86602540378	1.5	2.0	1.86602540378	1.86602540378	2.0	1.5	1.86602540378	1.0	1.5	0.5	1.0	0.133974596216	0.5	0.0	0.133974596216	0.133974596216	0.0	0.5	0.133974596216	1.0	0.5	1.5
NCU09663.7	1.86602540378	1.5	1.5	1.0	1.0	0.5	0.5	0.133974596216	0.133974596216	0.0	0.0	0.133974596216	0.133974596216	0.5	0.5	1.0	1.0	1.5	1.5	1.86602540378	1.86602540378	2.0	2.0	1.86602540378
