ID	Phase
NCU04225	2
NCU06892	10
NCU09536	2
NCU03525	16
NCU01145	0
NCU03155	2
NCU04071	0
NCU04156	2
NCU06201	2
NCU07889	2
NCU05516	4
NCU06198	14
NCU04350	14
NCU05135	12
NCU04105	22
NCU09892	8
NCU01294	18
NCU06544	20
NCU04930	22
NCU05554	16
NCU11088	6
NCU02209	6
NCU02904	2
NCU03908	18
NCU04144	16
NCU10311	6
NCU02103	6
NCU03013	22
NCU00261	2
NCU01160	2
NCU01647	4
NCU01399	2
NCU01427	2
NCU03763	4
NCU07242	10
NCU00066	6
NCU00351	10
NCU02148	16
NCU06132	22
NCU00240	0
NCU08565	0
NCU04414	20
NCU06054	16
NCU09001	6
NCU00153	2
NCU01444	2
NCU01479	2
NCU08703	20
NCU08772	0
NCU05994	2
NCU03973	10
NCU06532	2
NCU07931	0
NCU02589	4
NCU08300	22
NCU08379	16
NCU16888	18
NCU00360	2
NCU05288	0
NCU05716	18
NCU08847	8
NCU09476	10
NCU10732	10
NCU01975	12
NCU00040	0
NCU01019	14
NCU02139	14
NCU02585	10
NCU04650	12
NCU06451	2
NCU07027	0
NCU03926	12
NCU09263	22
NCU11219	20
NCU03394	2
NCU07063	4
NCU07523	6
NCU12152	20
NCU04230	12
NCU06419	20
NCU00729	18
NCU03176	2
NCU00706	16
NCU09138	10
NCU06123	10
NCU06536	14
NCU08167	0
NCU11129	18
NCU02695	2
NCU02117	4
NCU05683	4
NCU01195	10
NCU02193	8
NCU02806	8
NCU07349	2
NCU08282	20
NCU01748	20
NCU07169	6
NCU05400	22
NCU03135	10
NCU03334	18
NCU05733	6
NCU09278	22
NCU00924	18
NCU01485	2
NCU06986	4
NCU08823	0
NCU09466	2
NCU08272	12
NCU00212	2
NCU04724	0
NCU05304	2
NCU03748	16
NCU02724	4
NCU03136	2
NCU06554	2
NCU00124	22
NCU00903	0
NCU02849	4
NCU08303	16
NCU01083	2
NCU05154	0
NCU05807	0
NCU06075	0
NCU03309	4
NCU04116	18
NCU09841	4
NCU00498	2
NCU01474	2
NCU01786	2
NCU02614	0
NCU04268	0
NCU05552	2
NCU01861	22
NCU10865	8
NCU11287	22
NCU00865	0
NCU01221	10
NCU04022	2
NCU08008	0
NCU08793	0
NCU06303	22
NCU08787	20
NCU08280	0
NCU10014	4
NCU10468	4
NCU02098	12
NCU04181	2
NCU07404	22
NCU08882	2
NCU11050	18
NCU06468	12
NCU06836	12
NCU00413	16
NCU01187	4
NCU01271	10
NCU01831	18
NCU03717	10
NCU04202	0
NCU08964	16
NCU02018	20
NCU03329	4
NCU10687	6
NCU03875	12
NCU06868	22
NCU00469	4
NCU01403	18
NCU03041	16
NCU03051	14
NCU08861	16
NCU00792	10
NCU02181	12
NCU07962	20
NCU04059	22
NCU05270	12
NCU05410	12
NCU04110	4
NCU06243	14
NCU09810	18
NCU01332	6
NCU03080	12
NCU03703	6
NCU04584	16
NCU04832	10
NCU06361	2
NCU07910	0
NCU07971	20
NCU10073	0
NCU10853	2
NCU01878	22
NCU01457	16
NCU00182	4
NCU00003	0
NCU01290	16
NCU01112	16
NCU03846	2
NCU08297	22
NCU09570	0
NCU01197	0
NCU02624	4
NCU06684	18
NCU06821	12
NCU00753	0
NCU01066	12
NCU01473	2
NCU02134	2
NCU07467	0
NCU03935	10
NCU05226	12
NCU06859	12
NCU01081	22
NCU07925	20
NCU00707	12
NCU02333	16
NCU00957	0
NCU01454	2
NCU01857	0
NCU02316	10
NCU05196	16
NCU05850	0
NCU06870	2
NCU07996	6
NCU06724	12
NCU06959	4
NCU07949	6
NCU09122	16
NCU00361	2
NCU02263	20
NCU02530	2
NCU03211	10
NCU03441	0
NCU07010	12
NCU05236	6
NCU03020	20
NCU09642	20
NCU02701	18
NCU06168	4
NCU07817	4
NCU00304	8
NCU01991	0
NCU02887	10
NCU06512	2
NCU02014	20
NCU02819	20
NCU05290	12
NCU00775	2
NCU02227	0
NCU04385	10
NCU04907	20
NCU06270	2
NCU09647	12
NCU01546	20
NCU08009	8
NCU04412	12
NCU02220	8
NCU02541	22
NCU06296	0
