$Gene	0h	2h	4h	6h	8h	10h	12h	14h	16h	18h	20h
NCU00261.7	0.574220708435	1.11840396831	1.62660381136	1.94437637024	1.97514935431	1.70957073654	1.22835087011	0.677734304769	0.225055511296	0.00788529868552	0.0922225214671
NCU08998.7	1.97514935431	1.94437637024	1.62660381136	1.11840396831	0.574220708435	0.159433396504	9.74759906958e-05	0.144635739839	0.549122459311	1.0906325802	1.60459911486
NCU07153.7	0.0218523992662	0.0603073792141	0.384338524674	0.895471536732	1.43837114679	1.84804809616	2.0	1.84804809616	1.43837114679	0.895471536732	0.384338524674
NCU02193.7	0.307017488691	0.0302698783093	0.0482269443388	0.355431466038	0.858522819523	1.40460962686	1.82773402796	1.99930690622	1.86718661062	1.47152500209	0.932565149998
NCU08762.7	1.41310442982	0.867743609743	0.362576010251	0.0511239883555	0.0280389994215	0.300336659487	0.785264672833	1.33545156975	1.78369345733	1.99376791916	1.90183252641
NCU09621.7	1.97514935431	1.94437637024	1.62660381136	1.11840396831	0.574220708435	0.159433396504	9.74759906958e-05	0.144635739839	0.549122459311	1.0906325802	1.60459911486
NCU07756.7	0.00182985389577	0.12146063576	0.50808287562	1.04420060265	1.56688559823	1.91729190198	1.98892970396	1.76002800338	1.30015089862	0.749056792884	0.274225283308
NCU05041.7	1.99891711134	1.8717844137	1.47971311325	0.94185517109	0.421667663832	0.0772375556446	0.0132384678874	0.249119967019	0.713196767289	1.26443416204	1.73530900806
NCU00649.7	0.0218523992662	0.0603073792141	0.384338524674	0.895471536732	1.43837114679	1.84804809616	2.0	1.84804809616	1.43837114679	0.895471536732	0.384338524674
NCU02797.7	1.99891711134	1.8717844137	1.47971311325	0.94185517109	0.421667663832	0.0772375556446	0.0132384678874	0.249119967019	0.713196767289	1.26443416204	1.73530900806
NCU04474.7	0.307017488691	0.0302698783093	0.0482269443388	0.355431466038	0.858522819523	1.40460962686	1.82773402796	1.99930690622	1.86718661062	1.47152500209	0.932565149998
NCU08409.7	1.99891711134	1.8717844137	1.47971311325	0.94185517109	0.421667663832	0.0772375556446	0.0132384678874	0.249119967019	0.713196767289	1.26443416204	1.73530900806
NCU03098.7	1.97514935431	1.94437637024	1.62660381136	1.11840396831	0.574220708435	0.159433396504	9.74759906958e-05	0.144635739839	0.549122459311	1.0906325802	1.60459911486
NCU07022.7	1.68284886688	1.96622632199	1.95596391876	1.65518044061	1.15528513184	0.608198080218	0.18018112388	0.00131024560874	0.125944986395	0.516208373945	1.05349787878
NCU05624.7	1.97514935431	1.94437637024	1.62660381136	1.11840396831	0.574220708435	0.159433396504	9.74759906958e-05	0.144635739839	0.549122459311	1.0906325802	1.60459911486
NCU02450.7	1.99891711134	1.8717844137	1.47971311325	0.94185517109	0.421667663832	0.0772375556446	0.0132384678874	0.249119967019	0.713196767289	1.26443416204	1.73530900806
NCU04642.7	1.97514935431	1.94437637024	1.62660381136	1.11840396831	0.574220708435	0.159433396504	9.74759906958e-05	0.144635739839	0.549122459311	1.0906325802	1.60459911486
NCU10042.7	0.307017488691	0.0302698783093	0.0482269443388	0.355431466038	0.858522819523	1.40460962686	1.82773402796	1.99930690622	1.86718661062	1.47152500209	0.932565149998
NCU00409.7	1.99891711134	1.8717844137	1.47971311325	0.94185517109	0.421667663832	0.0772375556446	0.0132384678874	0.249119967019	0.713196767289	1.26443416204	1.73530900806
NCU04648.7	1.97514935431	1.94437637024	1.62660381136	1.11840396831	0.574220708435	0.159433396504	9.74759906958e-05	0.144635739839	0.549122459311	1.0906325802	1.60459911486
NCU09116.7	1.99891711134	1.8717844137	1.47971311325	0.94185517109	0.421667663832	0.0772375556446	0.0132384678874	0.249119967019	0.713196767289	1.26443416204	1.73530900806
NCU00944.7	1.85294399739	1.44671838928	0.904733361701	0.391700228251	0.0635317116505	0.0199594736576	0.274225283308	0.749056792884	1.30015089862	1.76002800338	1.98892970396
NCU01119.7	1.15528513184	1.65518044061	1.95596391876	1.96622632199	1.68284886688	1.19195104105	0.64271856295	0.202065273989	0.00390738654851	0.108465837145	0.483964914516
