	Phase	Circadian time Acrophase
NCU04578.7	10	22.666666666666664
NCU09803.7	12	0.8000000000000007
NCU02549.7	2	14.133333333333333
NCU02074.7	0	12.0
NCU04639.7	2	14.133333333333333
NCU06617.7	12	0.8000000000000007
NCU01277.7	8	20.53333333333333
NCU03686.7	12	0.8000000000000007
NCU05069.7	4	16.266666666666666
NCU05718.7	0	12.0
NCU06738.7	0	12.0
NCU01552.7	6	18.4
NCU02793.7	8	20.53333333333333
NCU03200.7	8	20.53333333333333
NCU01102.7	2	14.133333333333333
NCU04292.7	2	14.133333333333333
NCU08312.7	18	7.199999999999999
NCU06722.7	20	9.333333333333329
NCU00890.7	0	12.0
NCU03695.7	22	11.466666666666669
NCU03979.7	2	14.133333333333333
NCU07240.7	12	0.8000000000000007
NCU02720.7	12	0.8000000000000007
NCU08389.7	16	5.066666666666666
NCU06663.7	16	5.066666666666666
NCU06785.7	6	18.4
NCU04068.7	12	0.8000000000000007
NCU04932.7	10	22.666666666666664
NCU08397.7	4	16.266666666666666
NCU08500.7	16	5.066666666666666
NCU09025.7	14	2.9333333333333336
NCU04636.7	10	22.666666666666664
NCU04264.7	8	20.53333333333333
NCU04479.7	20	9.333333333333329
NCU04510.7	0	12.0
NCU04770.7	2	14.133333333333333
NCU06637.7	12	0.8000000000000007
NCU08824.7	2	14.133333333333333
NCU04786.7	6	18.4
NCU08468.7	10	22.666666666666664
NCU01179.7	2	14.133333333333333
NCU01648.7	0	12.0
NCU11320.7	8	20.53333333333333
NCU00537.7	18	7.199999999999999
NCU01776.7	16	5.066666666666666
NCU09646.7	12	0.8000000000000007
NCU00798.7	12	0.8000000000000007
NCU08299.7	4	16.266666666666666
NCU05837.7	18	7.199999999999999
NCU00643.7	22	11.466666666666669
NCU05153.7	20	9.333333333333329
NCU09975.7	18	7.199999999999999
NCU00422.7	8	20.53333333333333
NCU08296.7	2	14.133333333333333
NCU09141.7	2	14.133333333333333
NCU08643.7	0	12.0
NCU07263.7	12	0.8000000000000007
NCU10498.7	16	5.066666666666666
NCU00879.7	0	12.0
NCU03886.7	2	14.133333333333333
NCU07434.7	2	14.133333333333333
NCU09213.7	2	14.133333333333333
NCU08923.7	16	5.066666666666666
NCU00712.7	2	14.133333333333333
NCU06550.7	2	14.133333333333333
NCU07033.7	14	2.9333333333333336
NCU07860.7	2	14.133333333333333
NCU09534.7	2	14.133333333333333
NCU07493.7	2	14.133333333333333
NCU08092.7	10	22.666666666666664
NCU04118.7	2	14.133333333333333
NCU05278.7	0	12.0
NCU09043.7	20	9.333333333333329
NCU16466.7	2	14.133333333333333
NCU03150.7	16	5.066666666666666
NCU05522.7	14	2.9333333333333336
NCU03232.7	0	12.0
NCU03893.7	2	14.133333333333333
NCU00461.7	22	11.466666666666669
NCU00605.7	18	7.199999999999999
NCU04100.7	6	18.4
NCU04352.7	14	2.9333333333333336
NCU06923.7	8	20.53333333333333
NCU08968.7	12	0.8000000000000007
NCU09741.7	0	12.0
NCU10061.7	22	11.466666666666669
NCU11181.7	0	12.0
NCU01343.7	2	14.133333333333333
NCU03561.7	2	14.133333333333333
NCU04899.7	2	14.133333333333333
NCU00549.7	0	12.0
NCU02829.7	22	11.466666666666669
NCU00385.7	8	20.53333333333333
NCU00450.7	0	12.0
NCU01919.7	16	5.066666666666666
NCU01992.7	0	12.0
NCU02108.7	6	18.4
NCU05985.7	0	12.0
NCU08231.7	4	16.266666666666666
NCU05813.7	12	0.8000000000000007
NCU05498.7	10	22.666666666666664
NCU06534.7	18	7.199999999999999
NCU06687.7	20	9.333333333333329
NCU04161.7	20	9.333333333333329
NCU04452.7	2	14.133333333333333
NCU08943.7	16	5.066666666666666
NCU09013.7	20	9.333333333333329
NCU01297.7	18	7.199999999999999
NCU03957.7	2	14.133333333333333
NCU04807.7	22	11.466666666666669
NCU06763.7	2	14.133333333333333
NCU00475.7	16	5.066666666666666
NCU06244.7	4	16.266666666666666
NCU09174.7	0	12.0
NCU01569.7	6	18.4
NCU02097.7	0	12.0
NCU02200.7	0	12.0
NCU06941.7	2	14.133333333333333
NCU08934.7	14	2.9333333333333336
NCU03702.7	12	0.8000000000000007
NCU09248.7	22	11.466666666666669
NCU10572.7	0	12.0
NCU00867.7	0	12.0
NCU07100.7	0	12.0
NCU11236.7	12	0.8000000000000007
NCU08480.7	16	5.066666666666666
NCU04314.7	10	22.666666666666664
NCU01589.7	2	14.133333333333333
NCU06101.7	2	14.133333333333333
NCU07972.7	0	12.0
NCU08410.7	2	14.133333333333333
NCU02998.7	10	22.666666666666664
NCU02280.7	22	11.466666666666669
NCU10777.7	6	18.4
NCU10007.7	10	22.666666666666664
NCU01807.7	2	14.133333333333333
NCU02006.7	0	12.0
NCU04129.7	10	22.666666666666664
NCU07319.7	0	12.0
NCU08110.7	6	18.4
NCU11395.7	2	14.133333333333333
NCU02750.7	4	16.266666666666666
NCU04086.7	22	11.466666666666669
NCU07332.7	22	11.466666666666669
NCU02894.7	2	14.133333333333333
NCU03860.7	2	14.133333333333333
NCU03975.7	2	14.133333333333333
NCU05797.7	2	14.133333333333333
NCU07802.7	14	2.9333333333333336
NCU09088.7	0	12.0
NCU07868.7	12	0.8000000000000007
NCU00575.7	6	18.4
NCU01107.7	22	11.466666666666669
NCU04732.7	0	12.0
NCU05731.7	6	18.4
NCU06700.7	14	2.9333333333333336
NCU02545.7	2	14.133333333333333
NCU01912.7	18	7.199999999999999
NCU01144.7	0	12.0
NCU07481.7	22	11.466666666666669
NCU06658.7	20	9.333333333333329
NCU07701.7	18	7.199999999999999
NCU02082.7	2	14.133333333333333
NCU04596.7	20	9.333333333333329
NCU06910.7	0	12.0
NCU08377.7	6	18.4
NCU07590.7	22	11.466666666666669
NCU03738.7	6	18.4
NCU08484.7	4	16.266666666666666
NCU02808.7	2	14.133333333333333
NCU03147.7	2	14.133333333333333
NCU04225.7	2	14.133333333333333
NCU06892.7	10	22.666666666666664
NCU09536.7	2	14.133333333333333
NCU03525.7	16	5.066666666666666
NCU01145.7	0	12.0
NCU03155.7	2	14.133333333333333
NCU04071.7	0	12.0
NCU04156.7	2	14.133333333333333
NCU06201.7	2	14.133333333333333
NCU07889.7	2	14.133333333333333
NCU05516.7	4	16.266666666666666
NCU06198.7	14	2.9333333333333336
NCU04350.7	14	2.9333333333333336
NCU05135.7	12	0.8000000000000007
NCU04105.7	22	11.466666666666669
NCU09892.7	8	20.53333333333333
NCU01294.7	18	7.199999999999999
NCU06544.7	20	9.333333333333329
NCU04930.7	22	11.466666666666669
NCU05554.7	16	5.066666666666666
NCU11088.7	6	18.4
NCU02209.7	6	18.4
NCU02904.7	2	14.133333333333333
NCU03908.7	18	7.199999999999999
NCU04144.7	16	5.066666666666666
NCU10311.7	6	18.4
NCU02103.7	6	18.4
NCU03013.7	22	11.466666666666669
NCU00261.7	2	14.133333333333333
NCU01160.7	2	14.133333333333333
NCU01647.7	4	16.266666666666666
NCU01399.7	2	14.133333333333333
NCU01427.7	2	14.133333333333333
NCU03763.7	4	16.266666666666666
NCU07242.7	10	22.666666666666664
NCU00066.7	6	18.4
NCU00351.7	10	22.666666666666664
NCU02148.7	16	5.066666666666666
NCU06132.7	22	11.466666666666669
NCU00240.7	0	12.0
NCU08565.7	0	12.0
NCU04414.7	20	9.333333333333329
NCU06054.7	16	5.066666666666666
NCU09001.7	6	18.4
NCU00153.7	2	14.133333333333333
NCU01444.7	2	14.133333333333333
NCU01479.7	2	14.133333333333333
NCU08703.7	20	9.333333333333329
NCU08772.7	0	12.0
NCU05994.7	2	14.133333333333333
NCU03973.7	10	22.666666666666664
NCU06532.7	2	14.133333333333333
NCU07931.7	0	12.0
NCU02589.7	4	16.266666666666666
NCU08300.7	22	11.466666666666669
NCU08379.7	16	5.066666666666666
NCU16888.7	18	7.199999999999999
NCU00360.7	2	14.133333333333333
NCU05288.7	0	12.0
NCU05716.7	18	7.199999999999999
NCU08847.7	8	20.53333333333333
NCU09476.7	10	22.666666666666664
NCU10732.7	10	22.666666666666664
NCU01975.7	12	0.8000000000000007
NCU00040.7	0	12.0
NCU01019.7	14	2.9333333333333336
NCU02139.7	14	2.9333333333333336
NCU02585.7	10	22.666666666666664
NCU04650.7	12	0.8000000000000007
NCU06451.7	2	14.133333333333333
NCU07027.7	0	12.0
NCU03926.7	12	0.8000000000000007
NCU09263.7	22	11.466666666666669
NCU11219.7	20	9.333333333333329
NCU03394.7	2	14.133333333333333
NCU07063.7	4	16.266666666666666
NCU07523.7	6	18.4
NCU12152.7	20	9.333333333333329
NCU04230.7	12	0.8000000000000007
NCU06419.7	20	9.333333333333329
NCU00729.7	18	7.199999999999999
NCU03176.7	2	14.133333333333333
NCU00706.7	16	5.066666666666666
NCU09138.7	10	22.666666666666664
NCU06123.7	10	22.666666666666664
NCU06536.7	14	2.9333333333333336
NCU08167.7	0	12.0
NCU11129.7	18	7.199999999999999
NCU02695.7	2	14.133333333333333
