ID	Phase
NCU01111	14
NCU05233	2
NCU05620	4
NCU04765	18
NCU08847	22
NCU10597	10
NCU00137	6
NCU03151	8
NCU04041	8
NCU00337	2
NCU02932	2
NCU09598	4
NCU05889	4
NCU10733	4
NCU08358	2
NCU07305	8
NCU07338	10
NCU02470	22
NCU03343	4
NCU03415	4
NCU09185	6
NCU09410	2
NCU07129	20
NCU03177	2
NCU06272	0
NCU07699	6
NCU09170	10
NCU00618	4
NCU05855	22
NCU06261	4
NCU07922	22
NCU00306	6
NCU00784	6
NCU06576	12
NCU00556	0
NCU00585	2
NCU02680	12
NCU06431	6
NCU01524	2
NCU04086	6
NCU01102	4
NCU05598	14
NCU00187	10
NCU08133	10
NCU08791	10
NCU06768	6
NCU16721	22
NCU00111	10
NCU07259	22
NCU07839	0
NCU09832	20
NCU00194	2
NCU07340	16
NCU08925	20
NCU04383	4
NCU04443	10
NCU05404	22
NCU02804	4
NCU05691	22
NCU06342	20
NCU06589	22
NCU00985	12
NCU01893	4
NCU05525	14
NCU00732	14
NCU06890	12
NCU05716	12
NCU05289	22
NCU16803	0
NCU03205	12
NCU08980	20
NCU06137	10
NCU02605	22
NCU01074	6
NCU06107	6
NCU10500	12
NCU16715	4
NCU05419	10
NCU02950	2
NCU02726	20
NCU03241	2
NCU08341	2
NCU02371	10
NCU03313	14
NCU03497	20
NCU04610	10
NCU06943	18
NCU07191	20
NCU08891	10
NCU00678	10
NCU06009	10
NCU06652	10
NCU04927	20
NCU07575	16
NCU01725	0
NCU01824	22
NCU03770	22
NCU09738	12
NCU04412	2
NCU08060	2
NCU02956	20
NCU05840	10
NCU00261	18
NCU00619	18
NCU04603	14
NCU05161	14
NCU10008	6
NCU09775	14
NCU05545	12
NCU05810	4
NCU16325	12
NCU06142	4
NCU02540	10
NCU09057	10
NCU07424	10
NCU09437	20
NCU09746	12
NCU05958	2
NCU04370	10
NCU03302	8
NCU04270	6
NCU08344	6
NCU07408	6
NCU06111	12
NCU09127	12
NCU04148	22
NCU05347	8
NCU01041	12
NCU05287	6
NCU00420	22
NCU08669	6
NCU05118	14
NCU08934	10
NCU09673	10
NCU17066	0
NCU06908	8
NCU01635	0
NCU09723	10
NCU11367	12
NCU04268	2
NCU03610	4
NCU02802	12
NCU06743	6
NCU01838	14
NCU00874	18
NCU06843	6
NCU07035	12
NCU03593	22
NCU05970	8
NCU00336	22
NCU07580	2
NCU02789	2
NCU00865	16
NCU05994	6
NCU04416	16
NCU04005	22
NCU07724	2
