	Phase	Circadian time Acrophase
NCU08923.7	2	14.133333333333333
NCU07267.7	10	22.666666666666664
NCU02397.7	10	22.666666666666664
NCU08959.7	6	18.4
NCU01861.7	10	22.666666666666664
NCU11395.7	10	22.666666666666664
NCU02651.7	12	0.8000000000000007
NCU03836.7	2	14.133333333333333
NCU02905.7	6	18.4
NCU01489.7	2	14.133333333333333
NCU04130.7	8	20.53333333333333
NCU07723.7	10	22.666666666666664
NCU16793.7	6	18.4
NCU02209.7	4	16.266666666666666
NCU01320.7	14	2.9333333333333336
NCU06550.7	10	22.666666666666664
NCU06303.7	10	22.666666666666664
NCU08951.7	4	16.266666666666666
NCU01127.7	12	0.8000000000000007
NCU02090.7	22	11.466666666666669
NCU03633.7	12	0.8000000000000007
NCU05752.7	12	0.8000000000000007
NCU03488.7	20	9.333333333333329
NCU09141.7	10	22.666666666666664
NCU06892.7	4	16.266666666666666
NCU07120.7	10	22.666666666666664
NCU08643.7	14	2.9333333333333336
NCU02668.7	16	5.066666666666666
NCU03358.7	6	18.4
NCU07562.7	4	16.266666666666666
NCU00456.7	10	22.666666666666664
NCU00089.7	2	14.133333333333333
NCU00376.7	4	16.266666666666666
NCU06799.7	22	11.466666666666669
NCU07325.7	14	2.9333333333333336
NCU05259.7	4	16.266666666666666
NCU03973.7	4	16.266666666666666
NCU02075.7	2	14.133333333333333
NCU01969.7	6	18.4
NCU00884.7	10	22.666666666666664
NCU05148.7	10	22.666666666666664
NCU07859.7	0	12.0
NCU07232.7	12	0.8000000000000007
NCU05040.7	12	0.8000000000000007
NCU00498.7	6	18.4
NCU03263.7	4	16.266666666666666
NCU00792.7	4	16.266666666666666
NCU03565.7	6	18.4
NCU04669.7	10	22.666666666666664
NCU06399.7	0	12.0
NCU04343.7	10	22.666666666666664
NCU02369.7	14	2.9333333333333336
NCU07240.7	10	22.666666666666664
NCU09403.7	12	0.8000000000000007
NCU04415.7	12	0.8000000000000007
NCU06210.7	6	18.4
NCU03137.7	14	2.9333333333333336
NCU03043.7	4	16.266666666666666
NCU09041.7	10	22.666666666666664
NCU00173.7	10	22.666666666666664
NCU06506.7	10	22.666666666666664
NCU01870.7	10	22.666666666666664
NCU09475.7	6	18.4
NCU08620.7	4	16.266666666666666
NCU01689.7	4	16.266666666666666
NCU02951.7	6	18.4
NCU08978.7	10	22.666666666666664
NCU01485.7	20	9.333333333333329
NCU06977.7	10	22.666666666666664
NCU09642.7	2	14.133333333333333
NCU05005.7	12	0.8000000000000007
NCU11321.7	2	14.133333333333333
NCU09730.7	16	5.066666666666666
NCU06450.7	20	9.333333333333329
NCU02894.7	10	22.666666666666664
NCU06123.7	14	2.9333333333333336
NCU08445.7	14	2.9333333333333336
NCU02904.7	16	5.066666666666666
NCU09794.7	6	18.4
NCU09903.7	22	11.466666666666669
NCU06432.7	6	18.4
NCU08920.7	4	16.266666666666666
NCU00720.7	14	2.9333333333333336
NCU06760.7	10	22.666666666666664
NCU03617.7	12	0.8000000000000007
NCU08703.7	10	22.666666666666664
NCU07318.7	10	22.666666666666664
NCU04156.7	20	9.333333333333329
NCU08169.7	22	11.466666666666669
NCU07929.7	4	16.266666666666666
NCU00805.7	6	18.4
NCU02977.7	22	11.466666666666669
NCU01927.7	20	9.333333333333329
NCU09560.7	12	0.8000000000000007
NCU07830.7	6	18.4
NCU07345.7	10	22.666666666666664
NCU02333.7	6	18.4
NCU07829.7	4	16.266666666666666
NCU00132.7	12	0.8000000000000007
NCU02644.7	10	22.666666666666664
NCU10045.7	14	2.9333333333333336
NCU02757.7	4	16.266666666666666
NCU04158.7	16	5.066666666666666
NCU08500.7	4	16.266666666666666
NCU00489.7	2	14.133333333333333
NCU07015.7	4	16.266666666666666
NCU01271.7	10	22.666666666666664
NCU02948.7	14	2.9333333333333336
NCU00450.7	10	22.666666666666664
NCU04507.7	2	14.133333333333333
NCU03780.7	10	22.666666666666664
NCU03876.7	2	14.133333333333333
NCU04368.7	12	0.8000000000000007
NCU05780.7	14	2.9333333333333336
NCU08111.7	6	18.4
NCU03166.7	10	22.666666666666664
NCU07846.7	22	11.466666666666669
NCU04388.7	8	20.53333333333333
NCU00269.7	6	18.4
NCU04636.7	6	18.4
NCU07182.7	6	18.4
NCU04779.7	4	16.266666666666666
NCU11287.7	10	22.666666666666664
NCU03092.7	0	12.0
NCU09535.7	10	22.666666666666664
NCU07794.7	4	16.266666666666666
NCU08568.7	12	0.8000000000000007
NCU04815.7	10	22.666666666666664
NCU06153.7	2	14.133333333333333
NCU00939.7	10	22.666666666666664
