$Gene	CT12.0_WT	CT12.0_DeltaCSP-1	CT14.1_WT	CT14.1_DeltaCSP-1	CT16.3_WT	CT16.3_DeltaCSP-1	CT18.4_WT	CT18.4_DeltaCSP-1	CT20.5_WT	CT20.5_DeltaCSP-1	CT22.7_WT	CT22.7_DeltaCSP-1	CT0.8_WT	CT0.8_DeltaCSP-1	CT2.9_WT	CT2.9_DeltaCSP-1	CT5.1_WT	CT5.1_DeltaCSP-1	CT7.2_WT	CT7.2_DeltaCSP-1	CT9.3_WT	CT9.3_DeltaCSP-1	CT11.5_WT	CT11.5_DeltaCSP-1
NCU00059.7		0.02185239926619431		0.06030737921409146		0.38433852467434115		0.8954715367323458		1.4383711467890765		1.8480480961564254		2.0		1.8480480961564265		1.4383711467890783		0.8954715367323476		0.3843385246743425		0.060307379214092016
NCU00064.7	0.28066019966134903		0.02185239926619431		0.06030737921409146		0.38433852467434115		0.8954715367323458		1.4383711467890765		1.8480480961564256		2.0		1.8480480961564265		1.438371146789078		0.8954715367323476		0.3843385246743425	
NCU00066.7	0.8954715367323469		1.4383711467890776		1.848048096156426		2.0		1.848048096156426		1.4383711467890776		0.8954715367323467		0.3843385246743418		0.060307379214091905		0.02185239926619431		0.2806601996613487		0.7580781044003317	
NCU00075.7		1.848048096156426		2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.38433852467434215		0.060307379214091905		0.02185239926619431		0.28066019966134814		0.7580781044003317		1.3090169943749468		1.7660444431189775
NCU00087.7		2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.38433852467434215		0.060307379214092016		0.02185239926619431		0.28066019966134814		0.7580781044003315		1.3090169943749468		1.7660444431189775		1.9902680687415701
NCU00088.7	0.7580781044003322		0.28066019966134903		0.02185239926619431		0.06030737921409146		0.38433852467434115		0.8954715367323458		1.438371146789077		1.8480480961564256		2.0		1.8480480961564263		1.438371146789078		0.8954715367323476	
NCU00090.7	1.4383711467890776		1.848048096156426		2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.3843385246743418		0.060307379214091905		0.02185239926619431		0.2806601996613487		0.7580781044003317		1.3090169943749468	
NCU00103.7	1.848048096156426	1.4383711467890776	2.0	1.848048096156426	1.848048096156426	2.0	1.4383711467890776	1.848048096156426	0.8954715367323469	1.4383711467890776	0.38433852467434215	0.8954715367323469	0.060307379214091905	0.3843385246743418	0.02185239926619431	0.060307379214091905	0.28066019966134814	0.02185239926619431	0.7580781044003317	0.2806601996613487	1.3090169943749468	0.7580781044003317	1.7660444431189775	1.3090169943749468
NCU00104.7	1.7660444431189772	1.9902680687415704	1.3090169943749463	1.7660444431189783	0.7580781044003313	1.3090169943749481	0.28066019966134814	0.7580781044003333	0.02185239926619431	0.2806601996613497	0.060307379214091905	0.021852399266194644	0.38433852467434215	0.06030737921409135	0.8954715367323469	0.3843385246743407	1.4383711467890778	0.8954715367323454	1.8480480961564263	1.4383711467890765	2.0	1.8480480961564254	1.8480480961564258	2.0
NCU00114.7		0.8954715367323469		1.4383711467890776		1.848048096156426		2.0		1.848048096156426		1.4383711467890776		0.8954715367323467		0.3843385246743418		0.060307379214091905		0.02185239926619431		0.2806601996613487		0.7580781044003317
NCU00116.7	1.9902680687415704		1.7660444431189783		1.3090169943749481		0.7580781044003333		0.2806601996613497		0.021852399266194644		0.06030737921409135		0.3843385246743407		0.8954715367323454		1.4383711467890765		1.8480480961564254		2.0	
NCU00124.7	1.9902680687415704		1.7660444431189783		1.3090169943749481		0.7580781044003333		0.2806601996613497		0.021852399266194644		0.06030737921409135		0.3843385246743407		0.8954715367323454		1.4383711467890765		1.8480480961564254		2.0	
NCU00127.7	1.7660444431189772		1.3090169943749463		0.7580781044003313		0.28066019966134814		0.02185239926619431		0.060307379214091905		0.38433852467434215		0.8954715367323469		1.4383711467890778		1.8480480961564263		2.0		1.8480480961564258	
