Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU07281.7	CT0.8_protein	0.021852399266194308	False	0.8	protein	Pentose-Phosphate-Cycle
NCU03100.7	CT0.8_protein	1.4383711467890774	False	0.8	protein	Pentose-Phosphate-Cycle
NCU09111.7	CT0.8_protein	1.8480480961564256	False	0.8	protein	Pentose-Phosphate-Cycle
Average	CT0.8_protein	0.9403767715844555	True	0.8	protein	Pentose-Phosphate-Cycle
NCU03254.7	CT2.9_RNA	0.3843385246743407	False	2.9	RNA	Pentose-Phosphate-Cycle
NCU04963.7	CT2.9_RNA	0.021852399266194308	False	2.9	RNA	Pentose-Phosphate-Cycle
NCU07169.7	CT2.9_RNA	0.021852399266194308	False	2.9	RNA	Pentose-Phosphate-Cycle
NCU06075.7	CT2.9_RNA	0.3843385246743407	False	2.9	RNA	Pentose-Phosphate-Cycle
NCU02252.7	CT2.9_RNA	1.4383711467890774	False	2.9	RNA	Pentose-Phosphate-Cycle
NCU07550.7	CT2.9_RNA	1.4383711467890774	False	2.9	RNA	Pentose-Phosphate-Cycle
NCU02193.7	CT2.9_RNA	0.021852399266194308	False	2.9	RNA	Pentose-Phosphate-Cycle
NCU07281.7	CT2.9_RNA	1.4383711467890774	False	2.9	RNA	Pentose-Phosphate-Cycle
NCU03100.7	CT2.9_RNA	1.4383711467890774	False	2.9	RNA	Pentose-Phosphate-Cycle
NCU09111.7	CT2.9_RNA	0.06030737921409191	False	2.9	RNA	Pentose-Phosphate-Cycle
Average	CT2.9_RNA	0.6648026213517666	True	2.9	RNA	Pentose-Phosphate-Cycle
NCU03254.7	CT2.9_protein	2.0	False	2.9	protein	Pentose-Phosphate-Cycle
NCU04963.7	CT2.9_protein	1.4383711467890774	False	2.9	protein	Pentose-Phosphate-Cycle
NCU07169.7	CT2.9_protein	0.3843385246743418	False	2.9	protein	Pentose-Phosphate-Cycle
NCU06075.7	CT2.9_protein	0.2806601996613481	False	2.9	protein	Pentose-Phosphate-Cycle
NCU02252.7	CT2.9_protein	0.2806601996613481	False	2.9	protein	Pentose-Phosphate-Cycle
NCU07550.7	CT2.9_protein	0.2806601996613481	False	2.9	protein	Pentose-Phosphate-Cycle
NCU02193.7	CT2.9_protein	0.8954715367323467	False	2.9	protein	Pentose-Phosphate-Cycle
NCU07281.7	CT2.9_protein	0.2806601996613481	False	2.9	protein	Pentose-Phosphate-Cycle
NCU03100.7	CT2.9_protein	0.8954715367323467	False	2.9	protein	Pentose-Phosphate-Cycle
NCU09111.7	CT2.9_protein	1.4383711467890774	False	2.9	protein	Pentose-Phosphate-Cycle
Average	CT2.9_protein	0.8174664690362581	True	2.9	protein	Pentose-Phosphate-Cycle
NCU03254.7	CT5.1_RNA	0.8954715367323454	False	5.1	RNA	Pentose-Phosphate-Cycle
NCU04963.7	CT5.1_RNA	0.2806601996613481	False	5.1	RNA	Pentose-Phosphate-Cycle
NCU07169.7	CT5.1_RNA	0.2806601996613481	False	5.1	RNA	Pentose-Phosphate-Cycle
NCU06075.7	CT5.1_RNA	0.8954715367323454	False	5.1	RNA	Pentose-Phosphate-Cycle
NCU02252.7	CT5.1_RNA	0.8954715367323467	False	5.1	RNA	Pentose-Phosphate-Cycle
NCU07550.7	CT5.1_RNA	0.8954715367323467	False	5.1	RNA	Pentose-Phosphate-Cycle
NCU02193.7	CT5.1_RNA	0.2806601996613481	False	5.1	RNA	Pentose-Phosphate-Cycle
NCU07281.7	CT5.1_RNA	0.8954715367323467	False	5.1	RNA	Pentose-Phosphate-Cycle
NCU03100.7	CT5.1_RNA	0.8954715367323467	False	5.1	RNA	Pentose-Phosphate-Cycle
NCU09111.7	CT5.1_RNA	0.021852399266194308	False	5.1	RNA	Pentose-Phosphate-Cycle
Average	CT5.1_RNA	0.6236662218644315	True	5.1	RNA	Pentose-Phosphate-Cycle
NCU03254.7	CT5.1_protein	1.8480480961564263	False	5.1	protein	Pentose-Phosphate-Cycle
NCU04963.7	CT5.1_protein	0.8954715367323467	False	5.1	protein	Pentose-Phosphate-Cycle
NCU07169.7	CT5.1_protein	0.06030737921409191	False	5.1	protein	Pentose-Phosphate-Cycle
NCU06075.7	CT5.1_protein	0.7580781044003315	False	5.1	protein	Pentose-Phosphate-Cycle
NCU02252.7	CT5.1_protein	0.7580781044003315	False	5.1	protein	Pentose-Phosphate-Cycle
NCU07550.7	CT5.1_protein	0.7580781044003315	False	5.1	protein	Pentose-Phosphate-Cycle
NCU02193.7	CT5.1_protein	0.3843385246743418	False	5.1	protein	Pentose-Phosphate-Cycle
NCU07281.7	CT5.1_protein	0.7580781044003315	False	5.1	protein	Pentose-Phosphate-Cycle
NCU03100.7	CT5.1_protein	0.3843385246743418	False	5.1	protein	Pentose-Phosphate-Cycle
NCU09111.7	CT5.1_protein	0.8954715367323467	False	5.1	protein	Pentose-Phosphate-Cycle
Average	CT5.1_protein	0.7500288015785221	True	5.1	protein	Pentose-Phosphate-Cycle
NCU03254.7	CT7.2_RNA	1.4383711467890763	False	7.2	RNA	Pentose-Phosphate-Cycle
NCU04963.7	CT7.2_RNA	0.7580781044003317	False	7.2	RNA	Pentose-Phosphate-Cycle
NCU07169.7	CT7.2_RNA	0.7580781044003317	False	7.2	RNA	Pentose-Phosphate-Cycle
NCU06075.7	CT7.2_RNA	1.4383711467890763	False	7.2	RNA	Pentose-Phosphate-Cycle
NCU02252.7	CT7.2_RNA	0.3843385246743412	False	7.2	RNA	Pentose-Phosphate-Cycle
NCU07550.7	CT7.2_RNA	0.3843385246743412	False	7.2	RNA	Pentose-Phosphate-Cycle
NCU02193.7	CT7.2_RNA	0.7580781044003317	False	7.2	RNA	Pentose-Phosphate-Cycle
NCU07281.7	CT7.2_RNA	0.3843385246743412	False	7.2	RNA	Pentose-Phosphate-Cycle
NCU03100.7	CT7.2_RNA	0.3843385246743412	False	7.2	RNA	Pentose-Phosphate-Cycle
NCU09111.7	CT7.2_RNA	0.2806601996613487	False	7.2	RNA	Pentose-Phosphate-Cycle
