$Gene	CT12.0_RNA	CT12.0_protein	CT14.1_RNA	CT14.1_protein	CT16.3_RNA	CT16.3_protein	CT18.4_RNA	CT18.4_protein	CT20.5_RNA	CT20.5_protein	CT22.7_RNA	CT22.7_protein	CT0.8_RNA	CT0.8_protein	CT2.9_RNA	CT2.9_protein	CT5.1_RNA	CT5.1_protein	CT7.2_RNA	CT7.2_protein	CT9.3_RNA	CT9.3_protein	CT11.5_RNA	CT11.5_protein
NCU06989.7	0.8954715367323469		1.4383711467890776		1.848048096156426		2.0		1.848048096156426		1.4383711467890776		0.8954715367323467		0.3843385246743418		0.060307379214091905		0.02185239926619431		0.2806601996613487		0.7580781044003317	
NCU06994.7		2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.38433852467434215		0.060307379214092016		0.02185239926619431		0.28066019966134814		0.7580781044003315		1.3090169943749468		1.7660444431189775		1.9902680687415701
NCU06998.7		1.7660444431189772		1.3090169943749463		0.7580781044003313		0.28066019966134814		0.02185239926619431		0.060307379214091905		0.38433852467434215		0.8954715367323469		1.4383711467890778		1.8480480961564263		2.0		1.8480480961564258
NCU06999.7	1.3090169943749472		0.7580781044003322		0.28066019966134903		0.02185239926619431		0.06030737921409146		0.38433852467434115		0.895471536732346		1.438371146789077		1.8480480961564256		2.0		1.8480480961564263		1.438371146789078	
NCU07001.7	2.0	1.848048096156426	1.848048096156426	2.0	1.4383711467890776	1.848048096156426	0.8954715367323469	1.4383711467890776	0.38433852467434215	0.8954715367323469	0.060307379214092016	0.38433852467434215	0.02185239926619431	0.060307379214091905	0.28066019966134814	0.02185239926619431	0.7580781044003315	0.28066019966134814	1.3090169943749468	0.7580781044003317	1.7660444431189775	1.3090169943749468	1.9902680687415701	1.7660444431189775
NCU07003.7	0.02185239926619431	2.0	0.06030737921409146	1.848048096156426	0.38433852467434115	1.4383711467890776	0.8954715367323458	0.8954715367323469	1.4383711467890765	0.38433852467434215	1.8480480961564254	0.060307379214092016	2.0	0.02185239926619431	1.8480480961564265	0.28066019966134814	1.4383711467890783	0.7580781044003315	0.8954715367323476	1.3090169943749468	0.3843385246743425	1.7660444431189775	0.060307379214092016	1.9902680687415701
NCU07004.7	0.060307379214092016		0.38433852467434215		0.8954715367323469		1.4383711467890776		1.848048096156426		2.0		1.8480480961564258		1.4383711467890774		0.8954715367323467		0.38433852467434115		0.06030737921409157		0.02185239926619431	
NCU07010.7		0.02185239926619431		0.06030737921409146		0.38433852467434115		0.8954715367323458		1.4383711467890765		1.8480480961564254		2.0		1.8480480961564265		1.4383711467890783		0.8954715367323476		0.3843385246743425		0.060307379214092016
NCU07011.7	1.4383711467890776		1.848048096156426		2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.3843385246743418		0.060307379214091905		0.02185239926619431		0.2806601996613487		0.7580781044003317		1.3090169943749468	
NCU07014.7	0.8954715367323469		1.4383711467890776		1.848048096156426		2.0		1.848048096156426		1.4383711467890776		0.8954715367323467		0.3843385246743418		0.060307379214091905		0.02185239926619431		0.2806601996613487		0.7580781044003317	
NCU07015.7	1.4383711467890776		1.848048096156426		2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.3843385246743418		0.060307379214091905		0.02185239926619431		0.2806601996613487		0.7580781044003317		1.3090169943749468	
NCU07018.7	1.3090169943749472		0.7580781044003322		0.28066019966134903		0.02185239926619431		0.06030737921409146		0.38433852467434115		0.895471536732346		1.438371146789077		1.8480480961564256		2.0		1.8480480961564263		1.438371146789078	
NCU07020.7	0.7580781044003322		0.28066019966134903		0.02185239926619431		0.06030737921409146		0.38433852467434115		0.8954715367323458		1.438371146789077		1.8480480961564256		2.0		1.8480480961564263		1.438371146789078		0.8954715367323476	
NCU07021.7	0.38433852467434215		0.8954715367323469		1.4383711467890776		1.848048096156426		2.0		1.848048096156426		1.4383711467890774		0.8954715367323467		0.3843385246743418		0.06030737921409157		0.02185239926619431		0.2806601996613487	
NCU07023.7	0.02185239926619431		0.06030737921409146		0.38433852467434115		0.8954715367323458		1.4383711467890765		1.8480480961564254		2.0		1.8480480961564265		1.4383711467890783		0.8954715367323476		0.3843385246743425		0.060307379214092016	
NCU07024.7	1.848048096156426		2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.38433852467434215		0.060307379214091905		0.02185239926619431		0.28066019966134814		0.7580781044003317		1.3090169943749468		1.7660444431189775	
